essay_id_comp,full_text,gender,holistic_essay_score,holistic_essay_score_3cat
E72093FC00DD,"Is using technology to find out how someone is feeling by scanning there face a good idea or a waste of time? In this article the author explains how a couple of people from a university created a program to identify how someone is feeling. Some people might disagree on how these students are using technology to find out how someone is honestly feeling. I think this idea of using this program is a good idea for many diffrent situations.

In the article the author explains how student at a few university's have been developing a program to show how someone is feeling. Student's from the University of Illinois, University of Amsterdam, and Dr. Huang and his colleague's are all apart of creating this program. The article describes how the students created this program and how they tested it on the Mona Lisa. This is a good idea because this program could help a lot of people in there everyday life. This program could help out with people who might have dangerous jobs were people could hurt them badly. This program could also help people who love art get more information from painting they love, becaue they might see a painting and not know what the artiste was trying to say.

This article on how these men and women created a progam that could be useful could inspire others to created somthing they want. It might inspire others to get into science or programming. It could also inform someone who might be intrested in the product that it is developing and could become useful in a lot of ways.                          ",M,2,1
254FDC0CAAD8,"Recently scientist's have invented what is called FACS (Facial Action Coding System). FACS is a system that can detect what your emotion is, wether you are sad or mad it can detect how you are feeling through your facial expressions. The software can even identify mixed emotions explains Dr. Huang. The software does what people do everyday whether its noticing our friend is upset or knowing your mom is mad by just looking at her. FACS is becoming so popular its even being talked bout to be used in schools. The computers would detect if you are understanding what is being said or if you are confused about what is being said. Personaly I dont think this would be a good idea.

The reason I dont think this would be a good idea is because if the computers are seeing if you are understanding or not that takes away a big part of a teachers and students job. If a teacher notics a student not undertanding they should help the student, but its not only a teachers job its a students job. If a student if feeling confusd they should take it upon them to ask the teacher for help. If a student is not asking for help because they are scared of feeling embarrsed they should know that its okay to ask for help. If schools started using FACS students would never get a chance to come out of there shell and they would stay scared to ask. That would effect them when they leave school and enter the work force. If their boss asks them to do something and they don't undertand there won't be a FACS to detect that and they won't know how to aks for help because they ahve never been exposed to having to ask.

If changing our shcools to having to have computers detect a student isn't understanding we are in trouble. It might help at first but in the long run it would not be a good thing. Asking for help is a great way to learn social skills and not having that chance could make someone have bad social skills. I do not think FACS should be is schools for reasons I have stated. ",F,3,2
3F0CD8819E12,"We use technology everyday. Technology helps us get through the day and our work a lot more effeciently. Im actually using technology right now. Thankfully this computer isn't examining and scanning my face right now (as far as I know). I don't think we should go this far and use this software at schools. Students need privacy, it won't change our opinions about school work, and plus its also probably petyy expensive.

Students are entitled to their own privacy. In the artile is said, ""For example, if you smile when a Web ad appears on your screen, a similar ad might follow.""

The last thing you need in school is a bunch of soap ads poppping up because someone made you laugh but the computer thought you were laughing at the ads it was showing you. We dont want a computerscanning our faces everytime we are using it. Its just disturbing to think that this machine is studying every muscle movement in your face to know how you feel.

Of course most kids are going to be bored if they're doing school work on the computer. How is the computer going to change that? Its pretty useless if you really think about it. It will just get annoying after a while. If youre confused you could just ask the teacher instead of exaggerating a confused look until the computer recognizes it.

This software is also probably pretty expensive. We would have to pay for not only the software but also new and better computers because as it said in paragraph 7,""Your home PC can't handle the complex algorithms used to decode Mona Lisa's smile."" This means that we would need a really, really nice computer to run this software. Schools don't have enough money to buy a software that just reads peoples emotions.

In conclusion I don't think schools need this at all. Its pretty useless because it won't give us students privacy because it will just be sitting there scanning us the whole time we are on our computers, It definitely won't help us with our boredom, and its probably way too expensive. Nobody wants to be baying a bunch of money just to know Tim was 40 percent happy on wednesday after lunch. This software just a waste of money.",M,4,2
A4F0BACE1010,"It is not value of ad pop ups from a computer to detect student or teachers emotion, it's not right plus i think it's a watse of time to try and collect every emotion of evryone who uses a computer, cause at some point in time the people will start to get angry about the whole emotions crap and maybe get rid of them, they may like at first but one day their just gonna get rid of it.

Like in the article it said ""how can a computer recognize the subtle facial movements we humans use to express how we feel?"" six emotions the computer has to track, ""happiness, surprise, anger, disgust, fear, and sadness and then associated each with characteristic movements of the facial muscles."" A computer that can sence and track muscle movement and emotions, kinda werid and freaked out to me if i had this computer and i think most people around the world would stick to just regular computers or laptops and not buy this emotional computer ad poping up crap. I would think more than emotional computers, thinking more advanced or just regular old computers thats what i would do if i were creating computers.

I think we shouldn't nchange anything at all about computers if it's gonna lead to a riot or people rising up to the company because of the computers, ""we want regular computers back not the stupid emotional ones anymore!"" u know... i would do the same thing as well.            ",M,2,1
8055A3DA8CFF,"""Let's keep moving forward"". Walt Disney harped at the advancement of entertainment and technology in the world and constantly reminded everyone to keep moving forward in their lives and to keep an open mind with new technology. Just like with some of Diney's crazy inventions one must try the new before denying them. The Facial Action Coding System would be considered one of the new technologies that one must keep an open mind to trying. There are many useful ways that this system could help out masses worldwide. It could help between the language barrier, in courtrooms with lie detectors, and most importantly classrooms. The use of the Facial Action Coding System is very valuable and needs to be spread throughout classrooms across the globe.

Students' are very different from one another. That includes their friends, their style, their personal values, and their work in shcool. With this system it will make it extremely easier for teachers to help students' education flow a lot smoother. As said in paragrah 6, ""A classroom computer could recognize when a student is beocming confused or bored"". This recognition could allow the computer to modify the lesson without the teacher having to take time out of their busy schedule to do so. It will also benefits students who are scared to approach teachers' with their education problems because they might become embarrassed. By using this method with the Facial Action Coding System graduation rates may increase as well as classroom productivity through the help of the lesson modifications.

Another reason the Facial Action Coding System should be widely encourged is it could help a teacher build a better relationship with the students. As said in paragraph 4, ""The facial expressions for each emotion are universal"". This means that when any student is having emotional stuggles their teacher could be notified by the system. This would allow the teachers to become more aware of their students' outside lives so that the teacher could help the student if needed. Doing so, a stonger trust factor could be built between the student and teacher creating a more productive classroom all together.

Some may say that this system would be an invasion of privacy for the students, but this is not much different than being able to tell how one feels by just examining their expression by oneself. This system advances the technology of facial examination only. It assists others in being able to distiguish one's feelings at the moment. Going a little deeper in the student's life may actually benefit them more than it would invade on them. The system could allow the students to recieve the help they really need by delving a little deeper than a normal human would be able to.

This system could be seen as an insane new technology that some may be afraid of, but to make progess in the world one must open their mind and accept the new to help millions around the world. The Facial Action Coding System could help a plethora of sutdents and teachers with their relationship and trust as well as the students' educations and also the teachers' careers. This system could be the new big thing in the technological advancement of schools, and it will allow more people to succeed in life and create a better future for everyone surounding them.",F,6,3
A4F7B2183A23,"Well first off Dr. Paul Eckman created a sytem called FACS, which creates affects and changes on human facial expressions for better results. This allows a new form of technology to change emotions and more. This software can identify emotions just like that!.

In my opinion I think that there is no need for this system to identify facials expressions on students. Because first we are young so you know when we are angry, happy, or sad because we tend to show it. Like body language older people and even people my age know when there is something wrong with one another, because you can tell how they usally are from how they are at that moment. Don't get me wrong i like what Dr. Paul came up with this type of science and technology, but i dont think it's neccessary to change pictures and add emotions to something.

I just think using this technology on these students wouldn't do much, but tell you whether or not there sad, angry, happy, confused, excited, and etc. However this technology shounldn't go to waste I mean you can use this technology in other ways like animlas, you can't really tell whether an animal is happy, sad,and etc.

But so far I like the whole idea just not the type of experiment Dr. Paul is trying to accomplish. His technology that he has created is outstanding , and im pretty shore he can find something else to use it for. So like I said you don't need a comeputer to read a humans face or body langauge.                     ",F,2,1
724CFBF0B317,"Yes I am with the value of using this technology to read students emotional expressions.

I am with it because it would get to know the students better and make them into a better person. It could also help you be on task more and not be distracted by the little things you see.

I see it could help from these evidence in the artical because right here it says ""A classroom computer could recognize when a student is becoming confused or bored"". In that sentance it is saying that a classroom computer is knowing when a student is confused or bored I think if a computer knew exactly when that was I think it would be pretty cool. Going into the computer and the computer knowing what you are and who you are and how you deal with your life is pretty rare to do.

Another way I strongly agree on is for instance you can probably tell how a friend is feeling simply by the look on there face right?

of course but image a computer doing the same thing. Dr. haung ovserves that artist such as da vinci studied a human anantomy to hlep them paint facial muscles precisely enought to convey the most important emotions. Others think on how you feel the first day is how you will feel the 2nd day and then its just gonna keep going until you need or get help. What if somebody was getting mentily abused from somebody cruel and rude and they did not say anything to anyone. Well thats why we got the computer to help us out and it would tell us how it really felt on who they are.

Helping others out could really benefit somebodys life in alot of ways. Techology would really need more and more advice from other companys. in paragraph 3 it says "" The process begins when the computer constructs a 3-D computer model of the face and all 44 major muscles in the model must move like human muscles"". Im that sentace it is talking about more of the muscles than computers.

Then test on the humans to see if they are showing ""emotional expressions"". You may be able to test there musscles and if they are hard and twich alot it shows that they are lieing or if they just relax and let it go through like you should it would show the truth.

A conclution of this is that my opinion i think we should have it around earth because I think we as people need to help others if they are having bad problems with there lives so thats why we need the computer to test them out and see how they are doing with it. Dr Paul Echman has classified six basic emotions of happiness , suprise , anger , disgust , fear or sadness and this computer could tell you what you are if you would do the test. ",M,3,2
807F6563D0F3,"I don't think it would be worth the money to put in technology in a classroom to see what a student is feeling, because not everyone wants everyone knowing what they are feeling. What if that student just wants to be left alone? When I'm mad I don't want everyone knowing what's going on, I'd rather not talk to anyone unless I ask them for help about the situation. If they did put the technology in a classroom to tell what every child is feeling everyone would know each others business.

In the article it stated that it could help teachers know if the child is bored or confused, but does that child want the student to call him or her out on it? Probably not because if that student is struggling in class they don't want everyone knowing, if that student is struggling or confused then they need to ask the teacher at a seperate time if they don't want everyone to know how they struggle academically.

Not everyone is a emotional person they don't know how to share their feelings but they probably don't want some machine telling them how they feel and how they are feeling by how they look. Because anyone can fake a smile or a happy moment, but if that student doesn't know how to express themselves without a machine telling them, then they most likley don't want everyone else knowing what they're going through.

Technology has advanced majorly in just the past few years, but we are humans and we need to be able to show our emotions without a computer telling us how were feeling by how we look on that day. We all have bad days and we all have good days but on the bad day if that computer tells me I'm depressed then I could believe that and my mental state not be stable anymore because that computer told me I was depressed based on how I looked and felt one day.

We as humans need to learn how to express ourselves without using an emoji on our keyboards. Technology has made our lifes easier but again has changed too many things in todays world. ",F,3,2
439B4B707E10,"A 3-D computer is a model of the face all 44 muscles and its called an ""action unit"". The Dr. Huang relies to work on of psycholoists and Dr. Paul Eckam, the creater of FACS (Facial Action Coding System). Dr. Eckman classified six basic emotions suprise, anger, happiness, fear, and sadness. Then he made associated each with charatcteristic movements of the facical muscles.

Dr. Huang smiling broadly "" even though individuals often show varying degrees of expression"". Huang using video imagery, new emotion-recognition software tracks these movements in a real face or the painted picture of Mona Lisa. The weighting the diffeent units in the software can be even identify mixed emotions. Even each expression can be compared against the neutral face.

The humans perform the same impressive ""calualtion"" every single day. if we can probably tell our friend how they're feeling because by the way look on there faces. But most of us would have trouble describing each facial.",F,1,1
9FB2D4DF0972,"being aale to read the emotional expressions of students in a classroom is not valuable.

I believe if a student is struggling then they will find the most productive way out of how they are struggling, doing anything to gain some sort of happiness when they are down. it is there business and privacy, I never think that should be put into jeproady. It is impossible to detect 100% how someone is feeling, and I don't think that some new technology is going to change that. Nothing can detect how someone is emotionally feeling, facial expressions don't show emotions. Anyone can fake a smile and that thing be thrown off. Nothing can be said with a ""calculation"" I don't believe that a computer can tell how I feel based upon the looks of my smile, We have all taken a picture with someone we may not want to, but we toughed the smile out in that, this will be no different. Although, facial expressions are univeral based upon the emotion, people can manipulate the system and they will. The whole thing seems very orgainzed, like when the articel states that quote ""Eckman has classified six basic emotions - happiness, surprise, anger, disgust, fear, and sadness. That is truly breathtaking, and almost too good to be true.

but I just think students will rebel when they have something can show how they feel, becasue that computer cannot get into the minds of some people, and truly help them, when someone who is visibly there, and physically there can help them out so much more. Some students will love this feature if it ever gets adapted, but most will rebel, and dislike school even more than some of them already do.

Emotional expressions are how someone feels, and thinks about anything, a computer will never be able to tell me how to feel or think, and some corny ad for a youtube video will not change me if something truly drastic is affecting me, I think that the entire production of the FACS is magnificent, and truly admirable.

I just think in this date and age that you cannot influence someone on how they think, or how they feel. If someone is happy, you should continue to let them go with the flow, and do there own thing, not crowd them with a computer that could potentially know how they feel, although I find that very unlikely, I am an optimist and hope that I can find reviews about this thing one day.

I don't think I'd truly ever wanna know how some people feel, the thought is somewhat scary. ",M,3,2
