essay_id_comp,y_pred_chatgpt_fewshot,y_true,gender
7F220FD6CACF,1,1,M
B3FE48815543,2,3,F
B6428F6EB5F3,2,2,F
5D4E78CE6D5F,2,2,F
EA48C80121AD,1,2,F
CD8AAEA704AE,1,1,M
8119D80E030F,2,2,M
73E31A7D5720,1,1,F
56CA92EE1B0A,2,2,M
6C09B4AA6A77,2,2,M
49CC4EA5F3AF,2,2,F
4A8383F42E69,1,1,F
3B59052B8DAF,2,1,M
3442D7D6F267,2,2,M
A7FE0387BF32,1,1,M
0F6BC58DCBE0,2,1,M
2FC787262DE4,2,1,F
068076E24085,2,2,F
B640319E66B2,1,1,M
F983201E8CB1,2,1,F
4E236FFFBC3A,2,2,F
E2A67895BF3F,1,1,F
E7062A9A85AD,1,1,M
396A37B6D921,1,1,F
E1396D3FA930,1,2,F
12F6CA9D6104,2,2,F
7E37567419F5,1,1,M
9F3B64C57D04,1,1,M
E10D5E79B0A0,2,2,F
2F5D866B2C48,2,2,F
9F9F729FA854,1,2,F
1613BD216385,1,1,F
1807B25C64DB,2,2,F
2A906C1535A0,2,2,M
6A0FADF28A04,2,1,F
42CD122E8324,2,2,F
3ADC8338A9B8,2,3,F
923FDA1457EE,2,2,M
ABB4C6E07E71,2,3,M
1A6AB3B03A92,1,1,M
56A21776B470,1,2,M
E151FC867457,1,1,M
69C14FD07D1E,2,1,F
6D56A7D16F96,1,1,F
416154D38103,2,3,F
0C24337CD49E,1,1,F
95D641A74BF1,2,2,M
A2062CD12236,1,1,M
2676A4459B59,2,2,M
5341BDD4026A,2,2,F
FBABC3FB451D,2,2,M
4A78B7E0CD23,2,3,M
B93581E854BD,1,1,M
6D7E6399624E,1,1,F
730D11B13BA1,2,2,M
B3C2E6274311,1,1,M
9DB0CD72C72A,2,3,F
547FAEEA4126,2,2,F
83D3DB30ED2D,2,2,F
2C0247A6398B,2,2,F
315B09492FB4,1,1,M
49FAAE286911,1,1,M
9638A0515968,2,2,M
7D0DC6F08EB2,2,2,F
6CCD1AE680E2,1,1,M
F048B3381F8C,2,1,M
EFE5284CED33,1,1,M
43E8315FA921,1,1,M
DC5BBE514ECE,2,2,M
4C711F8D8B7E,1,2,M
FD4BFFA3443A,2,2,M
323F31110886,2,2,M
8F2DE1AB0229,1,1,F
FF53FACA31BF,1,1,M
37B8AD6E4D9B,2,1,M
55792E29E3A0,1,1,M
BB7C74DD634F,1,1,M
5E98AE1FEA8E,1,1,F
949F1FCAE7A6,1,1,M
9788FF5FBA3B,1,1,M
B1107C007404,2,3,F
2C4BB3ACA451,1,1,M
634848B2D08C,2,2,F
0771C85FC76B,2,3,M
803A47175851,2,2,F
360FD9AE286D,2,2,M
F4423D1F297D,2,1,F
5787997A234A,1,1,F
B27DD0B12E19,2,2,F
FD0934F5261D,1,1,M
9D99F8F1CAAB,1,1,F
A84FCF650361,1,1,F
D836FB30A868,1,2,F
3A961F5287CD,2,2,M
2E9B5CD4716D,1,1,M
1C51F32A0689,2,2,F
F3E8A109AE05,1,2,M
5FBF192B844B,1,1,F
95570A90AED0,2,2,F
CD89EA33A415,2,2,F
A68B13F7EB65,2,2,F
85BB61E8083B,1,1,M
CFC1F5729C6D,1,2,M
C275B257FC61,1,2,M
D692F0AACADA,1,1,F
445FC339B11B,1,2,M
F62004E3EBAC,1,1,F
E60EB5C35194,1,1,M
20D81D1BE1A6,2,3,F
A0DEA37279E9,1,1,F
6E381D4CCEDA,1,2,F
1B4BA44BD3E9,1,1,M
DF44B7B148CC,2,2,F
16DC754413F0,1,1,F
308AD9A4728D,1,1,F
BF86E37ABB2A,1,2,F
89EE36DCF117,1,1,M
D1BE0D3E0D4E,2,2,F
8AF1FB2ADE27,2,3,M
E8E139957D4D,1,1,M
B7570BF5EB0B,1,2,F
E55AEC795109,1,1,M
C0217B05422D,1,2,M
8E0FEEC3DF47,1,2,M
3CBB3DCDB8EE,1,2,F
40E7A7FDF48D,1,1,M
B3BC549D8BD0,2,2,F
8A2B79514820,2,2,M
3FA488B75FCB,1,1,F
573A550002C0,2,1,F
E494B619E3EF,2,2,F
6B3EC7DF8173,1,2,F
BB04B818FF32,2,1,F
D13AD797DE2D,2,2,F
32882A8AE673,1,2,F
98C855AF1F41,2,2,F
A13E656A0ED5,1,1,F
DAE40486EC15,1,1,M
99297BB401FC,2,3,F
32DCF7DED3F8,2,2,F
771A8A8F8892,2,3,M
72C8E2CDEA69,3,3,F
016A837B94F5,2,2,M
E465837431CB,2,2,M
DA5E92093978,2,2,F
EA2BAEFCE4F2,2,1,M
EC1D57A4E008,2,2,F
D7F4D3366332,2,3,M
5F66710B5017,1,1,M
C38708C405C6,1,2,M
F9FFECDE9A53,2,1,F
069AFB1CF407,1,2,M
0ACB0E08934E,2,2,M
9A2549F2EEC1,2,3,F
C3AD2ABD5D03,1,1,F
20E8EF3807D2,2,2,F
236F050055D6,2,2,M
5109921E29E0,1,1,M
121DCFFBC671,2,3,M
747B06CF4DA3,1,2,F
11F4FD622FD8,2,3,F
A8221073323E,2,2,F
AE11AA4423C1,1,2,M
10D7E30AD1AC,2,2,M
2450993EB016,1,1,F
5A860EDF839D,2,2,F
29DEA3E5DA18,2,2,M
20D57DEC3EF5,1,1,M
CCC749859F5C,2,3,M
E62E4E083245,1,2,M
09D40BD05847,1,1,M
E216387074D3,1,3,F
3AED5A7D58F8,1,2,M
F34AEA4F0678,2,2,M
B4FCF8DD1F69,2,2,M
3EF3E5B52108,1,2,F
